rank, player, value
1,Lionel Messi,13
1,Pablo Sarabia,13
3,Jony,12
4,Santi Cazorla,10
5,Jordi Alba,9
5,Wissam Ben Yedder,9
5,Jose Campana,9
8,Antoine Griezmann,8
9,Sergi Roberto,7
9,Iago Aspas,7
